county,year,month,TMAX,TMIN
Alameda,2016,1,57.42,45.8
Alameda,2016,2,66.77,46.54
Alameda,2016,3,64.42,48.31
Alameda,2016,4,69.65,50.71
Alameda,2016,5,71.29,52.75
Alameda,2016,6,78.22,54.61
Alameda,2016,7,77.29,54.99
Alameda,2016,8,75.74,55.32
Alameda,2016,9,78.83,54.75
Alameda,2016,10,71.22,53.53
Alameda,2016,11,64.95,47.93
Alameda,2016,12,56.65,41.54
Alameda,2017,1,54.68,41.76
Alameda,2017,2,59.29,46.16
Alameda,2017,3,65.81,47.38
Alameda,2017,4,67.45,48.64
Alameda,2017,5,73.13,51.77
Alameda,2017,6,77.17,55.36
Alameda,2017,7,80.88,55.9
Alameda,2017,8,78.33,58.18
Alameda,2017,9,81.51,59.52
Alameda,2017,10,76.38,51.64
Alameda,2017,11,64.24,48.38
Alameda,2017,12,60.01,40.66
Alameda,2018,1,58.92,44.66
Alameda,2018,2,63.17,42.0
Alameda,2018,3,62.2,44.33
Alameda,2018,4,66.47,47.43
Alameda,2018,5,68.16,50.96
Alameda,2018,6,76.23,53.33
Alameda,2018,7,78.41,56.3
Alameda,2018,8,76.46,55.66
Alameda,2018,9,76.17,53.71
Alameda,2018,10,74.62,52.57
Alameda,2018,11,66.66,47.31
Alameda,2018,12,58.11,43.79
Alameda,2019,1,59.63,45.2
Alameda,2019,2,55.05,41.29
Alameda,2019,3,61.89,45.08
Alameda,2019,4,69.28,50.25
Alameda,2019,5,66.64,50.61
Alameda,2019,6,77.78,55.69
Alameda,2019,7,77.45,56.07
Alameda,2019,8,81.12,58.79
Alameda,2019,9,78.74,56.84
Alameda,2019,10,75.18,50.18
Alameda,2019,11,66.19,45.56
Alameda,2019,12,57.5,44.85
Alameda,2020,1,57.4,42.03
Alameda,2020,2,65.19,44.13
Alameda,2020,3,61.44,45.63
Alameda,2020,4,66.91,49.19
Alameda,2020,5,74.84,53.58
Alameda,2020,6,76.44,55.87
Alameda,2020,7,75.8,55.94
Alameda,2020,8,80.66,60.14
Alameda,2020,9,80.81,59.87
Alameda,2020,10,80.01,56.88
Alameda,2020,11,64.51,44.99
Alameda,2020,12,59.9,42.42
Alpine,2016,1,38.21,18.94
Alpine,2016,2,48.61,21.57
Alpine,2016,3,45.72,25.69
Alpine,2016,4,51.15,28.92
Alpine,2016,5,55.57,32.35
Alpine,2016,6,69.27,42.26
Alpine,2016,7,74.3,45.44
Alpine,2016,8,74.81,44.9
Alpine,2016,9,66.71,39.19
Alpine,2016,10,53.6,33.79
Alpine,2016,11,48.77,26.78
Alpine,2016,12,39.12,18.93
Alpine,2017,1,35.47,16.88
Alpine,2017,2,38.15,20.52
Alpine,2017,3,47.92,23.46
Alpine,2017,4,47.72,25.3
Alpine,2017,5,57.83,32.42
Alpine,2017,6,67.44,38.96
Alpine,2017,7,75.98,46.98
Alpine,2017,8,73.65,46.54
Alpine,2017,9,62.3,38.34
Alpine,2017,10,58.39,30.21
Alpine,2017,11,47.6,29.63
Alpine,2017,12,47.17,21.36
Alpine,2018,1,44.75,24.33
Alpine,2018,2,40.64,14.92
Alpine,2018,3,40.89,19.44
Alpine,2018,4,51.38,26.57
Alpine,2018,5,57.01,34.74
Alpine,2018,6,69.57,40.29
Alpine,2018,7,77.32,48.85
Alpine,2018,8,74.63,45.48
Alpine,2018,9,68.86,40.22
Alpine,2018,10,55.34,31.17
Alpine,2018,11,49.72,25.57
Alpine,2018,12,39.18,18.5
Alpine,2019,1,40.84,20.41
Alpine,2019,2,32.57,13.28
Alpine,2019,3,41.19,19.61
Alpine,2019,4,51.74,28.75
Alpine,2019,5,52.56,30.23
Alpine,2019,6,65.48,37.69
Alpine,2019,7,72.04,44.27
Alpine,2019,8,74.24,45.31
Alpine,2019,9,62.82,37.82
Alpine,2019,10,55.8,26.71
Alpine,2019,11,50.32,25.28
Alpine,2019,12,37.76,21.21
Alpine,2020,1,41.82,19.93
Alpine,2020,2,45.69,18.93
Alpine,2020,3,40.62,19.99
Alpine,2020,4,51.49,27.13
Alpine,2020,5,58.36,33.25
Alpine,2020,6,66.16,38.15
Alpine,2020,7,74.99,44.77
Alpine,2020,8,76.7,47.98
Alpine,2020,9,71.42,42.54
Alpine,2020,10,64.78,33.92
Alpine,2020,11,46.94,22.58
Alpine,2020,12,42.13,19.01
Amador,2016,1,49.54,36.95
Amador,2016,2,63.25,44.22
Amador,2016,3,57.94,41.22
Amador,2016,4,65.65,45.6
Amador,2016,5,70.09,49.62
Amador,2016,6,84.45,60.32
Amador,2016,7,90.06,65.04
Amador,2016,8,90.34,66.26
Amador,2016,9,83.41,58.64
Amador,2016,10,67.36,49.8
Amador,2016,11,61.14,43.98
Amador,2016,12,51.69,36.95
Amador,2017,1,47.34,34.38
Amador,2017,2,50.54,37.28
Amador,2017,3,60.22,42.09
Amador,2017,4,60.63,42.15
Amador,2017,5,73.85,51.28
Amador,2017,6,83.26,60.42
Amador,2017,7,92.84,68.48
Amador,2017,8,92.01,68.24
Amador,2017,9,81.72,58.8
Amador,2017,10,75.96,53.52
Amador,2017,11,59.77,44.36
Amador,2017,12,60.81,44.02
Amador,2018,1,57.64,42.24
Amador,2018,2,56.24,37.36
Amador,2018,3,54.45,37.25
Amador,2018,4,64.44,42.92
Amador,2018,5,71.82,49.98
Amador,2018,6,83.81,59.51
Amador,2018,7,93.26,69.88
Amador,2018,8,89.6,65.62
Amador,2018,9,85.17,61.06
Amador,2018,10,73.32,53.35
Amador,2018,11,63.98,47.28
Amador,2018,12,52.91,37.99
Amador,2019,1,54.24,39.96
Amador,2019,2,43.6,29.57
Amador,2019,3,53.8,37.72
Amador,2019,4,65.93,46.11
Amador,2019,5,64.92,45.39
Amador,2019,6,84.24,62.25
Amador,2019,7,88.05,66.12
Amador,2019,8,88.74,65.63
Amador,2019,9,78.87,56.75
Amador,2019,10,72.38,50.58
Amador,2019,11,64.56,46.88
Amador,2019,12,51.25,38.41
Amador,2020,1,52.7,37.44
Amador,2020,2,61.28,41.73
Amador,2020,3,52.96,37.16
Amador,2020,4,63.55,44.52
Amador,2020,5,71.79,51.06
Amador,2020,6,80.78,57.52
Amador,2020,7,89.47,66.26
Amador,2020,8,91.85,68.86
Amador,2020,9,87.84,65.96
Amador,2020,10,81.65,59.74
Amador,2020,11,61.41,43.09
Amador,2020,12,56.5,40.65
Butte,2016,1,55.4,41.15
Butte,2016,2,65.91,43.76
Butte,2016,3,65.09,45.57
Butte,2016,4,75.27,50.36
Butte,2016,5,81.37,55.17
Butte,2016,6,91.72,59.93
Butte,2016,7,95.4,61.72
Butte,2016,8,94.06,61.25
Butte,2016,9,88.01,56.45
Butte,2016,10,72.06,50.38
Butte,2016,11,63.59,43.48
Butte,2016,12,54.72,37.42
Butte,2017,1,53.45,39.34
Butte,2017,2,58.18,45.84
Butte,2017,3,66.32,46.77
Butte,2017,4,68.45,48.97
Butte,2017,5,82.97,56.5
Butte,2017,6,91.16,63.06
Butte,2017,7,98.66,67.12
Butte,2017,8,96.6,66.08
Butte,2017,9,88.17,59.89
Butte,2017,10,79.75,50.84
Butte,2017,11,61.8,47.27
Butte,2017,12,60.12,38.54
Butte,2018,1,58.47,42.64
Butte,2018,2,63.76,38.54
Butte,2018,3,63.42,41.74
Butte,2018,4,71.92,47.24
Butte,2018,5,81.9,53.73
Butte,2018,6,92.82,60.13
Butte,2018,7,98.88,67.7
Butte,2018,8,92.57,62.56
Butte,2018,9,89.38,57.97
Butte,2018,10,80.41,53.17
Butte,2018,11,66.81,44.99
Butte,2018,12,57.23,40.96
Butte,2019,1,58.96,42.84
Butte,2019,2,54.09,40.4
Butte,2019,3,62.45,45.58
Butte,2019,4,74.29,52.66
Butte,2019,5,76.63,52.63
