station_id,loc_name,state,lats,lons,county
USR0000CCRZ,CRAZY PEAK CALIFORNIA,CA,41.9919,-123.6036,Del Norte
USW00024286,CRESCENT CITY MCNAMARA AIRPORT,CA,41.78028,-124.23667,Del Norte
USC00049053,TULELAKE,CA,41.9600,-121.4744,Siskiyou
USC00049866,YREKA,CA,41.7036,-122.6408,Siskiyou
USR0000CSLA,SLATER BUTTE CALIFORNIA,CA,41.8586,-123.3525,Siskiyou
USW00094299,ALTURAS MUNI AP,CA,41.4914,-120.5644,Modoc
USC00040161,ALTURAS,CA,41.4900,-120.5436,Modoc
USS0020H13S,Adin Mtn,CA,41.2400,-120.7900,Modoc
USC00041614,CEDARVILLE,CA,41.5300,-120.1792,Modoc
USW00024283,ARCATA EUREKA AP,CA,40.9781,-124.1086,Humboldt
USC00049694,WILLOW CREEK 1 NW,CA,40.9467,-123.6364,Humboldt
US1CAHM0006,TRINIDAD 1.5 NNW,CA,41.0783,-124.1517,Humboldt
USR0000CHAY,HAYFORK CALIFORNIA,CA,40.5500,-123.1650,Trinity
USR0000CMAD,MAD RIVER CALIFORNIA,CA,40.4633,-123.5239,Trinity
USC00049490,WEAVERVILLE HCN,CA,40.7367,-122.9403,Trinity
USC00041214,BURNEY,CA,40.8803,-121.6547,Shasta
US1CATH0018,COTTONWOOD 3.6 SSW,CA,40.3410,-122.3018,Shasta
USC00043824,HAT CREEK,CA,40.9317,-121.5433,Shasta
USR0000CROU,ROUND MOUNTAIN,CA,41.4272,-121.4639,Shasta
USC00048135,SHASTA DAM,CA,40.7142,-122.4161,Shasta
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,CA,40.3983,-122.8333,Shasta
USC00048702,SUSANVILLE 2SWHCN,CA,40.4167,-120.6631,Lassen
USR0000CCLE,CLEAR CREEK CALIFORNIA,CA,34.2711,-118.1525,Lassen
USR0000CDOY,DOYLE CALIFORNIA,CA,40.0222,-120.1056,Lassen
USC00042506,DOYLE 4 SSE,CA,39.9717,-120.0828,Lassen
USR0000CWES,WESTWOOD CALIFORNIA,CA,40.3067,-120.9000,Lassen
USR0000CLDR,LADDER BUTTE CALIFORNIA,CA,40.8072,-121.2967,Lassen
USC00045679,MINERAL,CA,40.3458,-121.6092,Tehama
USR0000CLAS,LASSEN LODGE CALIFORNIA,CA,40.3442,-121.7136,Tehama
USC00047085,PORTOLA,CA,39.8053,-120.4719,Plumas
USR0000CBOO,BOONVILLE CALIFORNIA,CA,38.9875,-123.3486,Mendocino
USC00043161,FT BRAGG 5 N HCN,CA,39.5092,-123.7567,Mendocino
USR0000CHLD,HOPLAND CALIFORNIA,CA,39.0308,-123.0806,Mendocino
USR0000CLAY,LAYTONVILLE CALIFORNIA,CA,39.7022,-123.4850,Mendocino
USC00047109,POTTER VALLEY POWERHOUSE,CA,39.3619,-123.1286,Mendocino
US1CAMD0016,UKIAH 4.3 S,CA,39.0833,-123.2191,Mendocino
USW00023275,UKIAH MUNI AP,CA,39.1258,-123.2008,Mendocino
USR0000CMEN,MENDOCINO PASS CALIFORNIA,CA,39.8075,-122.9450,Glenn
USC00046506,ORLAND HCN,CA,39.7458,-122.1997,Glenn
USC00049699,WILLOWS 6 W HCN,CA,39.5231,-122.3047,Glenn
USR0000CSAC,SACRAMENTO NWR CALIFORNIA,CA,39.4172,-122.1825,Glenn
USR0000CBGR,BANGOR CALIFORNIA,CA,39.3975,-121.3861,Butte
USC00041715,CHICO UNIV FARM HCN,CA,39.6911,-121.8211,Butte
USR0000CCHC,CHICO CALIFORNIA,CA,39.7119,-121.7789,Butte
USR0000CCOH,COHASSET CALIFORNIA,CA,39.8717,-121.7689,Butte
USC00046521,OROVILLE,CA,39.5178,-121.5531,Butte
USW00093210,OROVILLE MUNI AP,CA,39.4900,-121.6183,Butte
USC00046685,PARADISE,CA,39.7539,-121.6242,Butte
USC00046521,OROVILLE,CA,39.5178,-121.5531,Butte
USW00093210,OROVILLE MUNI AP,CA,39.4900,-121.6183,Butte
USC00042500,DOWNIEVILLE,CA,39.5633,-120.8239,Sierra
USC00048218,SIERRAVILLE RS,CA,39.5833,-120.3706,Sierra
USC00049298,VERDI 2W,CA,39.5214,-120.0269,Sierra
USC00042500,DOWNIEVILLE,CA,39.5633,-120.8239,Sierra
USC00041806,CLEARLAKE 4 SE,CA,38.9239,-122.5672,Lake
USC00041948,COLUSA 2 SSW,CA,39.1875,-122.0269,Colusa
USR0000CSTO,STONYFORD CALIFORNIA,CA,39.3669,-122.5750,Colusa
USR0000CPIK,PIKE COUNTY LOOKOUT CALIFORNIA,CA,39.4750,-121.2025,Yuba
USW00093205,MARYSVILLE YUBA CO AIRPORT,CA,39.106,-121.627,Sutter
USC00048606,STRAWBERRY VALLEY,CA,39.5631,-121.1078,Yuba
USW00093205,MARYSVILLE YUBA CO AIRPORT,CA,39.1019,-121.5677,Yuba
USC00049040,TRUCKEE-TAHOE AP,CA,39.3181,-120.1450,Nevada
USS0020K13S,Truckee #2,CA,39.3000,-120.1800,Nevada
USC00043573,GRASS VALLEY #2,CA,39.2042,-121.0681,Nevada
USC00046136,NEVADA CITY,CA,39.2467,-121.0008,Nevada
USC00040383,AUBURN,CA,38.9072,-121.0839,Placer
USC00041912,COLFAX HCN,CA,39.0911,-120.9481,Placer
USR0000CFOR,FORESTHILL CALIFORNIA,CA,39.0914,-120.7317,Placer
USR0000CLIN,LINCOLN CALIFORNIA,CA,38.8825,-121.2683,Placer
USC00049040,TRUCKEE-TAHOE AP,CA,39.3181,-120.1450,Nevada
USS0020K27S,Tahoe City Cross,CA,39.1700,-120.1500,Placer
USC00048760,TAHOMA,CA,39.0600,-120.1292,El Dorado
USC00041838,CLOVERDALE,CA,38.8000,-123.0175,Sonoma
USC00043578,GRATON,CA,38.4306,-122.8647,Sonoma
USC00046370,OCCIDENTAL,CA,38.3858,-122.9661,Sonoma
USC00046826,PETALUMA AP HCN,CA,38.2578,-122.6078,Sonoma
USW00023213,SANTA ROSA SONOMA CO AP,CA,38.5039,-122.8103,Sonoma
US1CASN0025,SANTA ROSA 4.7 S,CA,38.3781,-122.7253,Sonoma
USC00048351,SONOMA,CA,38.2994,-122.4622,Sonoma
USC00043191,FT ROSS,CA,38.5150,-123.2447,Sonoma
USC00049742,WINTERS,CA,38.5253,-121.9778,Yolo
USC00049781,WOODLAND 1 WNW,CA,38.6828,-121.7939,Yolo
USR0000CBRO,BROOKS,CA,38.7383,-122.1447,Yolo
USC00044712,LAKE SOLANO,CA,38.492,-122.0039,Yolo
USC00040212,ANGWIN PACIFIC UNION COLLEGE,CA,38.5731,-122.4406,Napa
USC00041312,CALISTOGA,CA,38.5961,-122.6014,Napa
USC00046074,NAPA STATE HOSPITAL HCN,CA,38.2778,-122.2647,Napa
USW00093227,NAPA CO AP,CA,38.2103,-122.2847,Napa
